sample,T_K,Na,Ca,Cl,I,eta_meas,eta_calc,dev_pct,series
8–6,333,2.1688,1.7861,5.741,7.5271,1.0981,1.116,1.6282,8
9–1,333,1.2289,0.0,1.2289,1.2289,0.5609,0.577,2.8738,9
9–2,333,2.4859,0.0,2.4859,2.4859,0.6398,0.6649,3.9166,9
9–3,333,3.8405,0.0,3.8405,3.8405,0.7411,0.7673,3.5256,9
9–4,333,5.0149,0.0,5.0149,5.0149,0.8744,0.8626,1.3568,9
9–5,333,6.0878,0.0,6.0878,6.0878,0.9486,0.9549,0.6629,9
10–1,333,0.0,1.2402,2.4804,3.7206,0.7324,0.6552,10.5434,10
10–2,333,0.0,2.3762,4.7524,7.1286,1.0946,0.984,10.1019,10
10–3,333,0.0,3.4164,6.8328,10.2492,1.4745,1.44,2.3427,10
10–4,333,0.0,4.3743,8.7486,13.1229,2.0591,1.9908,3.3155,10
10–5,333,0.0,5.2622,10.524,15.7866,2.8819,2.6135,9.3126,10
0,343,0.0,0.0,0.0,0.0,0.4439,0.4439,0.0,0
1–2,343,0.1002,0.0,0.1002,0.1002,0.443,0.4496,1.5004,1
1–3,343,0.2008,0.0,0.2008,0.2008,0.4513,0.4554,0.9158,1
1–4,343,0.4,0.0,0.4,0.4,0.4606,0.4668,1.3528,1
1–5,343,0.7013,0.0,0.7013,0.7013,0.4683,0.4844,3.4429,1
1–6,343,0.9991,0.0,0.9991,0.9991,0.4906,0.502,2.3108,1
1–7,343,1.4993,0.0,1.4993,1.4993,0.5214,0.532,2.0435,1
1–8,343,2.0028,0.0,2.0028,2.0028,0.6099,0.563,7.6937,1
1–9,343,2.9997,0.0,2.9997,2.9997,0.6323,0.6263,0.9417,1
1–10,343,3.994,0.0,3.994,3.994,0.6948,0.6921,0.3785,1
1–11,343,4.9969,0.0,4.9969,4.9969,0.7508,0.7613,1.3989,1
1–12,343,5.998,0.0,5.998,5.998,0.8338,0.833,0.0926,1
2–2,343,0.0,0.0513,0.1026,0.1539,0.4539,0.4469,1.5434,2
2–3,343,0.0,0.0972,0.1944,0.2916,0.4558,0.4498,1.3134,2
2–4,343,0.0,0.1785,0.357,0.5355,0.4666,0.4555,2.3782,2
2–5,343,0.0,0.3828,0.7656,1.1484,0.4969,0.473,4.8183,2
2–6,343,0.0,0.7532,1.5064,2.2596,0.5486,0.5162,5.8995,2
2–7,343,0.0,1.5667,3.1334,4.7001,0.7093,0.6635,6.4474,2
2–8,343,0.0,2.1439,4.2878,6.4317,0.8558,0.8117,5.1499,2
2–9,343,0.0,2.815,5.63,8.445,1.0168,1.0295,1.2497,2
3–1,343,0.0855,0.0857,0.2569,0.3426,0.4475,0.4543,1.5128,3
3–2,343,0.3249,0.3286,0.9821,1.3107,0.5159,0.4923,4.5745,3
3–3,343,0.6459,0.6489,1.9437,2.5926,0.5651,0.5614,0.6479,3
3–4,343,1.2726,1.2662,3.805,5.0712,0.7241,0.7461,3.0374,3
3–5,343,2.2426,2.2379,6.7184,8.9563,1.1145,1.1363,1.9487,3
4–1,343,0.3325,0.3327,0.9979,1.3306,0.4969,0.4933,0.7222,4
4–2,343,0.6948,0.6946,2.084,2.7786,0.5705,0.5732,0.4565,4
4–3,343,0.9887,0.9869,2.9625,3.9494,0.6407,0.6551,2.2508,4
4–4,343,1.267,1.264,3.795,5.059,0.759,0.745,1.8462,4
4–5,343,1.6359,1.6327,4.9013,6.534,0.9365,0.8804,5.9997,4
4–6,343,1.8898,1.8906,5.671,7.5616,0.9532,0.9841,3.2432,4
5–1,343,0.194,0.3875,0.969,1.3565,0.4947,0.4886,1.2427,5
5–2,343,0.3832,0.7662,1.9156,2.6818,0.5632,0.5553,1.4039,5
5–3,343,0.5897,1.1779,2.9455,4.1234,0.6589,0.652,1.0397,5
5–4,343,0.7669,1.5342,3.8353,5.3695,0.7449,0.7539,1.2101,5
5–5,343,0.9491,1.8987,4.7465,6.6452,0.8723,0.8745,0.2432,5
5–6,343,1.1296,2.2585,5.6466,7.9051,1.0602,1.0083,4.895,5
6–1,343,0.5005,0.2502,1.0009,1.2511,0.4943,0.4966,0.476,6
6–2,343,1.0005,0.5003,2.0011,2.5014,0.5601,0.5685,1.5059,6
6–3,343,1.4943,0.7471,2.9885,3.7356,0.6646,0.6547,1.4925,6
6–4,343,1.9639,0.982,3.9279,4.9099,0.7858,0.7477,4.8492,6
6–5,343,2.4344,1.2172,4.8688,6.086,0.8147,0.8496,4.284,6
6–6,343,2.9041,1.4521,5.8083,7.2604,1.0046,0.9587,4.5675,6
7–1,343,0.6058,0.202,1.0098,1.2118,0.4928,0.4987,1.1986,7
7–2,343,1.2039,0.4013,2.0065,2.4078,0.556,0.5692,2.3705,7
7–3,343,1.8012,0.6004,3.002,3.6024,0.6312,0.6521,3.3095,7
7–4,343,2.3866,0.7955,3.9776,4.7731,0.7062,0.7425,5.14,7
7–5,343,2.9623,0.9875,4.9373,5.9248,0.8006,0.8384,4.7188,7
7–6,343,3.5288,1.1763,5.8814,7.0577,0.9193,0.9383,2.0677,7
8–1,343,0.3816,0.3143,1.0102,1.3245,0.5421,0.495,8.697,8
8–2,343,0.7558,0.6224,2.0006,2.623,0.6009,0.567,5.6362,8
8–3,343,1.1202,0.9225,2.9652,3.8877,0.6977,0.655,6.1147,8
8–4,343,1.4716,1.2119,3.8954,5.1073,0.7372,0.7539,2.2603,8
8–5,343,1.8224,1.5007,4.8238,6.3245,0.8376,0.8641,3.1736,8
8–6,343,2.1688,1.7861,5.741,7.5271,0.96,0.9829,2.3818,8
9–1,343,1.2289,0.0,1.2289,1.2289,0.5244,0.5157,1.6527,9
9–2,343,2.4859,0.0,2.4859,2.4859,0.5751,0.5933,3.1661,9
9–3,343,3.8405,0.0,3.8405,3.8405,0.6686,0.6818,1.975,9
9–4,343,5.0149,0.0,5.0149,5.0149,0.7689,0.7625,0.8279,9
9–5,343,6.0878,0.0,6.0878,6.0878,0.8278,0.8395,1.4224,9
10–1,343,0.0,1.2402,2.4804,3.7206,0.6453,0.5958,7.6711,10
10–2,343,0.0,2.3762,4.7524,7.1286,0.9971,0.8816,11.583,10
10–3,343,0.0,3.4164,6.8328,10.2492,1.2823,1.2663,1.2476,10
10–4,343,0.0,4.3743,8.7486,13.1229,1.7876,1.7247,3.5186,10
10–5,343,0.0,5.2622,10.524,15.7866,2.4825,2.2387,9.8218,10
0,353,0.0,0.0,0.0,0.0,0.4026,0.4026,0.0,0
1–2,353,0.1002,0.0,0.1002,0.1002,0.4078,0.4078,0.0025,1
1–3,353,0.2008,0.0,0.2008,0.2008,0.4046,0.413,2.0826,1
1–4,353,0.4,0.0,0.4,0.4,0.4193,0.4234,0.9795,1
1–5,353,0.7013,0.0,0.7013,0.7013,0.4316,0.4393,1.7712,1
1–6,353,0.9991,0.0,0.9991,0.9991,0.4462,0.4551,1.9885,1
1–7,353,1.4993,0.0,1.4993,1.4993,0.4699,0.482,2.5872,1
1–8,353,2.0028,0.0,2.0028,2.0028,0.4835,0.5096,5.3891,1
1–9,353,2.9997,0.0,2.9997,2.9997,0.5514,0.5653,2.5266,1
1–10,353,3.994,0.0,3.994,3.994,0.6408,0.6226,2.8417,1
1–11,353,4.9969,0.0,4.9969,4.9969,0.6658,0.682,2.4354,1
1–12,353,5.998,0.0,5.998,5.998,0.8331,0.7431,10.8049,1
2–2,353,0.0,0.0513,0.1026,0.1539,0.4112,0.4062,1.2171,2
2–3,353,0.0,0.0972,0.1944,0.2916,0.4129,0.4096,0.798,2
2–4,353,0.0,0.1785,0.357,0.5355,0.4221,0.4161,1.4144,2
2–5,353,0.0,0.3828,0.7656,1.1484,0.4497,0.435,3.2749,2
2–6,353,0.0,0.7532,1.5064,2.2596,0.4927,0.4783,2.9193,2
2–7,353,0.0,1.5667,3.1334,4.7001,0.6335,0.6152,2.9021,2
2–8,353,0.0,2.1439,4.2878,6.4317,0.766,0.7469,2.4952,2
2–9,353,0.0,2.815,5.63,8.445,0.9032,0.9363,3.659,2
3–1,353,0.0855,0.0857,0.2569,0.3426,0.4025,0.4135,2.729,3
3–2,353,0.3249,0.3286,0.9821,1.3107,0.4461,0.451,1.0966,3
3–3,353,0.6459,0.6489,1.9437,2.5926,0.5058,0.5151,1.8429,3
3–4,353,1.2726,1.2662,3.805,5.0712,0.6448,0.6781,5.1674,3
3–5,353,2.2426,2.2379,6.7184,8.9563,0.9835,1.0121,2.9075,3
4–1,353,0.3325,0.3327,0.9979,1.3306,0.4462,0.4519,1.2839,4
4–2,353,0.6948,0.6946,2.084,2.7786,0.5106,0.5257,2.9614,4
4–3,353,0.9887,0.9869,2.9625,3.9494,0.571,0.5986,4.829,4
4–4,353,1.267,1.264,3.795,5.059,0.6449,0.6772,5.01,4
4–5,353,1.6359,1.6327,4.9013,6.534,0.8323,0.794,4.6081,4
4–6,353,1.8898,1.8906,5.671,7.5616,0.8297,0.8827,6.3945,4
5–1,353,0.194,0.3875,0.969,1.3565,0.4442,0.4487,1.0012,5
5–2,353,0.3832,0.7662,1.9156,2.6818,0.5036,0.5117,1.6117,5
5–3,353,0.5897,1.1779,2.9455,4.1234,0.5878,0.5989,1.883,5
5–4,353,0.7669,1.5342,3.8353,5.3695,0.663,0.6886,3.8621,5
5–5,353,0.9491,1.8987,4.7465,6.6452,0.7634,0.7931,3.887,5
5–6,353,1.1296,2.2585,5.6466,7.9051,0.9554,0.9079,4.9719,5
6–1,353,0.5005,0.2502,1.0009,1.2511,0.4439,0.4536,2.1988,6
6–2,353,1.0005,0.5003,2.0011,2.5014,0.5058,0.5191,2.6301,6
6–3,353,1.4943,0.7471,2.9885,3.7356,0.6063,0.5953,1.8119,6
6–4,353,1.9639,0.982,3.9279,4.9099,0.7099,0.6761,4.7548,6
6–5,353,2.4344,1.2172,4.8688,6.086,0.7627,0.7638,0.1434,6
6–6,353,2.9041,1.4521,5.8083,7.2604,0.918,0.857,6.6417,6
7–1,353,0.6058,0.202,1.0098,1.2118,0.4436,0.4548,2.5222,7
7–2,353,1.2039,0.4013,2.0065,2.4078,0.4982,0.5186,4.0788,7
7–3,353,1.8012,0.6004,3.002,3.6024,0.5642,0.5916,4.849,7
7–4,353,2.3866,0.7955,3.9776,4.7731,0.629,0.67,6.5239,7
7–5,353,2.9623,0.9875,4.9373,5.9248,0.7114,0.7525,5.7679,7
7–6,353,3.5288,1.1763,5.8814,7.0577,0.8057,0.8378,3.9819,7
8–1,353,0.3816,0.3143,1.0102,1.3245,0.4948,0.4531,8.4236,8
8–2,353,0.7558,0.6224,2.0006,2.623,0.5049,0.5195,2.8912,8
8–3,353,1.1202,0.9225,2.9652,3.8877,0.6321,0.5977,5.4332,8
8–4,353,1.4716,1.2119,3.8954,5.1073,0.6791,0.6839,0.7099,8
8–5,353,1.8224,1.5007,4.8238,6.3245,0.7442,0.7789,4.6574,8
8–6,353,2.1688,1.7861,5.741,7.5271,0.8492,0.8805,3.675,8
9–1,353,1.2289,0.0,1.2289,1.2289,0.4705,0.4674,0.6487,9
9–2,353,2.4859,0.0,2.4859,2.4859,0.5473,0.5364,1.9929,9
9–3,353,3.8405,0.0,3.8405,3.8405,0.5764,0.6136,6.4531,9
9–4,353,5.0149,0.0,5.0149,5.0149,0.7075,0.6831,3.4491,9
9–5,353,6.0878,0.0,6.0878,6.0878,0.7321,0.7486,2.251,9
10–1,353,0.0,1.2402,2.4804,3.7206,0.5753,0.5534,3.8131,10
10–2,353,0.0,2.3762,4.7524,7.1286,0.8687,0.8081,6.9844,10
10–3,353,0.0,3.4164,6.8328,10.2492,1.1514,1.139,1.069,10
10–4,353,0.0,4.3743,8.7486,13.1229,1.5704,1.5265,2.7946,10
10–5,353,0.0,5.2622,10.524,15.7866,2.1713,1.9565,9.8956,10
